,Symbol,Strategy,開倉放向,開倉時間,關倉時間,open_bb_high,open_bb_mid,open_bb_low,open_kt_high,open_kt_low,open_kdj,close_bb_high,close_bb_mid,close_bb_low,close_kt_high,close_kt_low,close_kdj,開倉價格,平倉價格,止損價格,倉位總數量,倉位總金額,平倉數量,剩餘倉位,開倉原因,平倉原因,實際收益,收益率,帳戶總金額
0,BTCUSDT,Bollinger,多,2023-09-01 11:00:00,2023-09-03 01:00:00,27590.502511613307,26518.704999999998,25446.90748838669,26689.215830417932,26115.898759889868,22.960723210212997,25863.934765761765,25797.71,25731.485234238233,25960.185460900582,25688.226274923443,78.07246932053985,26071.4,25803.7,26031.5,36.43839609687243,950000.0,36.43839609687243,0.0,【Case1 做多開倉】Long_Singal AND kdj上穿20 AND K線收漲,【Case1 做多止盈】kdj下穿80,-9754.558635132777,-1.03%,990245.4413648671
1,BTCUSDT,Bollinger,多,2023-09-07 01:00:00,2023-09-08 03:00:00,25871.365771976158,25731.335,25591.30422802384,25932.107085906937,25496.066266922113,67.39514280366213,25906.500035129575,25765.945,25625.389964870425,25935.56141329376,25613.95856002816,78.66270899278015,25845.6,25867.1,25326.0,36.39819424956758,940733.1692966238,36.39819424956758,0.0,【Case1 做多開倉】Long_Singal AND kdj上穿20 AND K線收漲,【Case1 做多止盈】kdj下穿80,782.561176365703,0.08%,991028.002541233
2,BTCUSDT,Bollinger,多,2023-09-12 00:00:00,2023-09-13 00:00:00,26127.908049358728,25661.415,25194.921950641274,25851.552969968234,25318.452756581548,19.680384235816618,26522.1122040104,25721.145,24920.177795989603,26216.485211795596,25478.707808749903,71.16943477181471,25175.4,26094.4,25087.8,37.39668892705463,941476.6024141712,37.39668892705463,0.0,【Case1 做多開倉】Long_Singal AND kdj上穿20 AND K線收漲,【Case1 做多止盈】kdj下穿80,34367.557123963205,3.65%,1025395.5596651962
3,BTCUSDT,Bollinger,多,2023-09-16 03:00:00,2023-09-16 07:00:00,26723.01052492002,26469.184999999998,26215.359475079975,26602.816563477278,26248.628665000975,36.32064703187526,26753.066902533643,26472.335,26191.603097466355,26704.49822126029,26238.35707679204,71.05780830208363,26386.9,26591.1,26325.1,36.91702252564478,974125.7816819364,36.91702252564478,0.0,【Case1 做多開倉】Long_Singal AND kdj上穿20 AND K線收漲,【Case1 做多止盈】kdj下穿80,7538.455999736557,0.77%,1032934.0156649328
4,BTCUSDT,Bollinger,多,2023-09-17 09:00:00,2023-09-17 19:00:00,26576.889236298117,26515.02,26453.150763701884,26640.064260855397,26395.06694917501,17.129691666006728,26594.068430631833,26529.329999999998,26464.591569368164,26622.91530016955,26438.915605663697,79.98909004556495,26481.9,26553.9,26400.0,37.05501927284998,981287.314881686,37.05501927284998,0.0,【Case1 做多開倉】Long_Singal AND kdj上穿20 AND K線收漲,【Case1 做多止盈】kdj下穿80,2667.9613876451986,0.27%,1035601.977052578
5,BTCUSDT,Bollinger,空,2023-09-19 01:00:00,2023-09-21 23:00:00,27454.096311022186,26835.075,26216.053688977816,27196.19351622198,26616.011862654013,36.38911128188863,27324.20242680532,26888.675,26453.147573194678,27067.417064952504,26572.69408077807,23.467295801934412,26747.8,26567.7,27257.0,-36.781412983495805,983821.878199949,36.781412983495805,0.0,【Case-1 做空開倉】Short_Singal AND KDJ下穿80 AND K線收跌,【Case-1 做空止盈】kdj上穿20,6624.332478327541,0.67%,1042226.3095309057
6,BTCUSDT,Bollinger,多,2023-10-03 09:00:00,2023-10-04 21:00:00,28646.828531157513,27980.420000000002,27314.01146884249,28164.79656277186,27401.435442315385,14.616496247446541,27597.192319975464,27416.784999999996,27236.37768002453,27653.85937552444,27277.327920562082,58.387833508523215,27552.5,27404.6,27366.1,35.93570413895632,990118.488288594,35.93570413895632,0.0,【Case1 做多開倉】Long_Singal AND kdj上穿20 AND K線收漲,【Case1 做多止盈】kdj下穿80,-5314.890642151691,-0.54%,1036915.0970300523
7,BTCUSDT,Bollinger,多,2023-10-06 10:00:00,2023-10-07 05:00:00,27905.622230189747,27577.51,27249.39776981025,27725.997528624735,27347.818594730845,27.28819454060556,28106.067891634353,27691.595,27277.12210836565,28102.43703852409,27401.107181742635,71.26305541237019,27528.6,28030.2,27501.7,35.783488523882426,985069.3421785497,35.783488523882426,0.0,【Case1 做多開倉】Long_Singal AND kdj上穿20 AND K線收漲,【Case1 做多止盈】kdj下穿80,17948.997843579502,1.82%,1054864.0948736318
8,BTCUSDT,Bollinger,多,2023-10-08 06:00:00,2023-10-08 07:00:00,27978.1797355889,27915.21,27852.2402644111,28018.72834252616,27782.57507245246,37.125639009889746,27980.857089904188,27917.815000000002,27854.772910095817,28014.273262285576,27795.096494123653,67.03936633594584,27938.5,27943.0,27909.3,35.86881508062173,1002120.8901299501,35.86881508062173,0.0,【Case1 做多開倉】Long_Singal AND kdj上穿20 AND K線收漲,【Case1 做多止盈】kdj下穿80,161.4096678627978,0.02%,1055025.5045414947
9,BTCUSDT,Bollinger,多,2023-10-08 21:00:00,2023-10-13 16:00:00,28034.88520766058,27905.890000000003,27776.894792339426,28044.84843872072,27732.044711283,52.33815354720357,26866.733102910253,26745.7,26624.666897089748,26917.73246095091,26645.629189079606,66.83996944186214,27898.1,26783.0,27671.0,35.92625409308949,1002274.2293144199,35.92625409308949,0.0,【Case1 做多開倉】Long_Singal AND kdj上穿20 AND K線收漲,【Case1 做多止盈】kdj下穿80,-40061.365939204035,-4.0%,1014964.1386022905
10,BTCUSDT,Bollinger,空,2023-10-20 00:00:00,2023-10-26 07:00:00,28648.603485705833,28376.365,28104.12651429417,28687.177281556476,28172.72683236959,62.56394791723554,34970.37117077772,34394.995,33819.61882922229,34948.2194738836,33893.324253670435,52.938738559677375,28601.7,34487.7,28933.4,-33.71195924250359,964219.3446663149,33.71195924250359,0.0,【Case-1 做空開倉】Short_Singal AND KDJ下穿80 AND K線收跌,【Case1 做多止盈】kdj下穿80,-198428.592101376,-20.580000000000002%,816539.1391263241
